sample_index,received_timestamp_sec,source_timestamp_sec,Fx,Fy,Fz,user_number,object_diameter_mm,task_performed,trial_number,sensor_number,finger_name,topic,raw_msg_length
,,1781121315.665121317,-0.047481266,-0.186699621,0.170237036,,,,,,,,
,,1781121315.681822062,-0.022670399,-0.187133855,0.186134715,,,,,,,,
,,1781121315.698446751,-0.030074461,-0.179215424,0.178666445,,,,,,,,
,,1781121315.714940548,-0.064443644,-0.188715171,0.200324213,,,,,,,,
,,1781121315.731956244,-0.058861437,-0.159069336,0.231124566,,,,,,,,
,,1781121315.748439074,-0.048239874,-0.158210466,0.236810761,,,,,,,,
,,1781121315.765116215,-0.031802940,-0.161361323,0.238080730,,,,,,,,
,,1781121315.781680822,-0.011477471,-0.154741856,0.232750954,,,,,,,,
,,1781121315.798393488,0.001347965,-0.161492453,0.228837397,,,,,,,,
,,1781121315.814951420,-0.012751244,-0.161825701,0.226917238,,,,,,,,
,,1781121315.831642389,-0.021224679,-0.152004380,0.224799855,,,,,,,,
,,1781121315.848338366,-0.033184503,-0.137201224,0.224490586,,,,,,,,
,,1781121315.865152359,-0.025489822,-0.135395177,0.229340060,,,,,,,,
,,1781121315.881906509,-0.014192420,-0.143130255,0.235461711,,,,,,,,
,,1781121315.898534060,-0.017758975,-0.144482834,0.233957739,,,,,,,,
,,1781121315.915125370,-0.018608321,-0.139538460,0.236484775,,,,,,,,
,,1781121315.931634903,-0.026874059,-0.138083034,0.229612450,,,,,,,,
,,1781121315.948465109,-0.034842905,-0.130216502,0.237068718,,,,,,,,
,,1781121315.965005398,-0.037388484,-0.115846793,0.236992872,,,,,,,,
,,1781121315.981666088,-0.036133202,-0.103151945,0.228261917,,,,,,,,
,,1781121315.998507023,-0.064980272,-0.099495780,0.235498500,,,,,,,,
,,1781121316.015151501,-0.081861705,-0.131040041,0.243014734,,,,,,,,
,,1781121316.031762600,-0.084987690,-0.175734379,0.262571701,,,,,,,,
,,1781121316.048482180,-0.036860131,-0.142244363,0.314072123,,,,,,,,
,,1781121316.065174103,-0.006951863,-0.134637141,0.296424288,,,,,,,,
,,1781121316.081976414,0.025445917,-0.123363566,0.287870738,,,,,,,,
,,1781121316.098592997,-0.025280469,-0.158153166,0.295450410,,,,,,,,
,,1781121316.115162849,-0.036850886,-0.141871134,0.307103245,,,,,,,,
,,1781121316.131852150,-0.029101843,-0.141698806,0.333483740,,,,,,,,
,,1781121316.148356676,-0.023749481,-0.126962798,0.329535529,,,,,,,,
,,1781121316.164990425,-0.004891063,-0.131680066,0.332706331,,,,,,,,
,,1781121316.181955338,0.009564970,-0.134036202,0.320382403,,,,,,,,
,,1781121316.198290825,0.026734036,-0.144724107,0.326564106,,,,,,,,
,,1781121316.215117931,0.025966398,-0.142006093,0.322459110,,,,,,,,
,,1781121316.231755495,0.012546196,-0.138975259,0.328612899,,,,,,,,
,,1781121316.248700142,-0.000842704,-0.134663474,0.321388365,,,,,,,,
,,1781121316.265149117,-0.008829232,-0.131099314,0.317658178,,,,,,,,
,,1781121316.281988144,-0.011402450,-0.116526996,0.325532477,,,,,,,,
,,1781121316.298652411,-0.006515288,-0.110201424,0.317913668,,,,,,,,
,,1781121316.315209389,0.009255671,-0.112630209,0.310977195,,,,,,,,
,,1781121316.332166195,0.012685655,-0.110776803,0.308669236,,,,,,,,
,,1781121316.348482609,0.006331680,-0.104865028,0.301222186,,,,,,,,
,,1781121316.365026474,-0.007908958,-0.105834836,0.304695933,,,,,,,,
,,1781121316.381726265,-0.007947720,-0.115176242,0.299643606,,,,,,,,
,,1781121316.398572922,0.015191902,-0.114604148,0.295906504,,,,,,,,
,,1781121316.415078163,0.024831160,-0.114807887,0.291386152,,,,,,,,
,,1781121316.431682825,0.010662213,-0.114895202,0.291797354,,,,,,,,
,,1781121316.448444843,-0.003106793,-0.110473710,0.299607046,,,,,,,,
,,1781121316.465049267,-0.023196373,-0.112609353,0.310120417,,,,,,,,
,,1781121316.481836557,-0.028407355,-0.147649866,0.305134105,,,,,,,,
,,1781121316.498378754,-0.056392654,-0.139411497,0.326826213,,,,,,,,
,,1781121316.515144348,0.001545875,-0.113040811,0.348921420,,,,,,,,
,,1781121316.531610250,-0.001839569,-0.127441342,0.338890042,,,,,,,,
,,1781121316.548269987,0.013210488,-0.118305992,0.322869226,,,,,,,,
,,1781121316.565046072,0.012794156,-0.114475529,0.334259838,,,,,,,,
,,1781121316.581755161,0.027043816,-0.112850131,0.323457526,,,,,,,,
,,1781121316.598342657,0.022054519,-0.118686419,0.320345237,,,,,,,,
,,1781121316.615046024,-0.000441776,-0.106128198,0.323988509,,,,,,,,
,,1781121316.632002592,-0.031965119,-0.109816991,0.327040703,,,,,,,,
,,1781121316.648301840,-0.029814583,-0.126058403,0.333414215,,,,,,,,
,,1781121316.665058613,-0.024388685,-0.132496219,0.331854674,,,,,,,,
,,1781121316.681705713,-0.030141563,-0.133092647,0.326378801,,,,,,,,
,,1781121316.698374033,-0.032036440,-0.135021494,0.331531907,,,,,,,,
,,1781121316.715264082,-0.028467948,-0.130478218,0.329905609,,,,,,,,
,,1781121316.731815338,-0.030949400,-0.128067190,0.329195589,,,,,,,,
,,1781121316.748403788,-0.019967469,-0.128149669,0.330571967,,,,,,,,
,,1781121316.765217543,-0.012787942,-0.130096351,0.329311635,,,,,,,,
,,1781121316.781864643,-0.002626324,-0.129631785,0.325491304,,,,,,,,
,,1781121316.798473835,0.001578125,-0.129341663,0.323385290,,,,,,,,
,,1781121316.815096378,0.010892354,-0.130358761,0.315836137,,,,,,,,
,,1781121316.831771374,0.016727941,-0.134033493,0.311837274,,,,,,,,
,,1781121316.848451376,0.017255841,-0.140525656,0.316301810,,,,,,,,
,,1781121316.865166903,0.027478350,-0.144171111,0.321185631,,,,,,,,
,,1781121316.881854057,0.021437274,-0.145627457,0.324870711,,,,,,,,
,,1781121316.898422718,0.022616805,-0.149749356,0.333783652,,,,,,,,
,,1781121316.915027380,0.033464681,-0.140072458,0.331098641,,,,,,,,
,,1781121316.931774855,0.034386897,-0.128986702,0.323687420,,,,,,,,
,,1781121316.948375463,0.053754606,-0.107437583,0.313859038,,,,,,,,
,,1781121316.965022087,0.020617523,-0.112368675,0.320267030,,,,,,,,
,,1781121316.981781006,0.006499966,-0.116609735,0.329455528,,,,,,,,
,,1781121316.998303890,0.018832605,-0.122049091,0.331313349,,,,,,,,
,,1781121317.014946222,0.002443705,-0.134646271,0.326708612,,,,,,,,
,,1781121317.031586409,-0.010051641,-0.143079041,0.340789374,,,,,,,,
,,1781121317.048288345,-0.027392023,-0.158365353,0.336089923,,,,,,,,
,,1781121317.065085888,-0.017875633,-0.152389730,0.334881847,,,,,,,,
,,1781121317.081635475,-0.003200268,-0.145039548,0.339677305,,,,,,,,
,,1781121317.098349571,0.001260944,-0.140257240,0.338197380,,,,,,,,
,,1781121317.115055561,0.006894370,-0.143160496,0.342568037,,,,,,,,
,,1781121317.131704807,0.016978396,-0.123826181,0.326173123,,,,,,,,
,,1781121317.148758411,0.034089424,-0.112799421,0.322502110,,,,,,,,
,,1781121317.165102005,0.000694421,-0.129131761,0.321983095,,,,,,,,
,,1781121317.181731224,-0.004107284,-0.130989813,0.333853055,,,,,,,,
,,1781121317.198274851,-0.002325065,-0.137893789,0.325935285,,,,,,,,
,,1781121317.215071917,-0.012346750,-0.167142146,0.338193702,,,,,,,,
,,1781121317.231858730,-0.028303482,-0.142402391,0.346919433,,,,,,,,
,,1781121317.248461008,0.002107895,-0.147564805,0.322385338,,,,,,,,
,,1781121317.264926672,0.017107006,-0.142968300,0.331019724,,,,,,,,
,,1781121317.281602383,-0.082344983,-0.232381614,0.307072177,,,,,,,,
,,1781121317.298527956,0.058751001,-0.057685858,0.338538670,,,,,,,,
,,1781121317.318771362,-0.001558565,-0.106867545,0.328579672,,,,,,,,
,,1781121317.333957911,-0.009170202,-0.115587568,0.318557528,,,,,,,,
,,1781121317.349806547,-0.015826927,-0.103870939,0.324090350,,,,,,,,
,,1781121317.368252277,-0.022927740,-0.110006066,0.337793556,,,,,,,,
,,1781121317.385065556,-0.025112060,-0.117206301,0.332834460,,,,,,,,
,,1781121317.401848555,-0.005554835,-0.120619828,0.335494817,,,,,,,,
,,1781121317.418343544,0.009357341,-0.109212236,0.344489036,,,,,,,,
,,1781121317.434963226,0.015290199,-0.113440402,0.332328676,,,,,,,,
,,1781121317.451737404,0.018300600,-0.099733168,0.326377698,,,,,,,,
,,1781121317.468254805,0.017584179,-0.083857055,0.323262130,,,,,,,,
,,1781121317.484966516,-0.000211498,-0.088394725,0.315590978,,,,,,,,
,,1781121317.501651049,-0.007533643,-0.093759198,0.327597643,,,,,,,,
,,1781121317.518446207,-0.007545866,-0.093328712,0.330479080,,,,,,,,
,,1781121317.534113884,-0.004134782,-0.103613927,0.323814481,,,,,,,,
,,1781121317.550107956,-0.002223805,-0.103622524,0.324534219,,,,,,,,
,,1781121317.565024853,-0.011024826,-0.109083479,0.314247362,,,,,,,,
,,1781121317.585000992,-0.014829881,-0.106911995,0.318423425,,,,,,,,
,,1781121317.601780415,-0.016099152,-0.106020102,0.319101271,,,,,,,,
,,1781121317.618358612,-0.010776524,-0.101929840,0.319919769,,,,,,,,
,,1781121317.635075331,-0.004292863,-0.105167275,0.318911762,,,,,,,,
,,1781121317.651674271,0.016576550,-0.105735306,0.306893501,,,,,,,,
,,1781121317.668292999,0.036620947,-0.097033116,0.297910596,,,,,,,,
,,1781121317.685020208,0.059368333,-0.083056342,0.278103903,,,,,,,,
,,1781121317.701651573,0.054285931,-0.092665442,0.251227179,,,,,,,,
,,1781121317.718248129,0.048577465,-0.093575176,0.240855190,,,,,,,,
,,1781121317.734980583,0.048593520,-0.097296193,0.223586697,,,,,,,,
,,1781121317.751656294,0.069491887,-0.099388244,0.200523817,,,,,,,,
,,1781121317.768233299,0.073677041,-0.111077244,0.187565610,,,,,,,,
,,1781121317.783828020,0.062481229,-0.127172011,0.174366335,,,,,,,,
,,1781121317.798888683,0.021762957,-0.153888557,0.199975553,,,,,,,,
,,1781121317.818207264,0.034695049,-0.124521914,0.207521985,,,,,,,,
,,1781121317.834977388,0.059496334,-0.099187488,0.175438652,,,,,,,,
,,1781121317.851681709,0.006327098,-0.127280203,0.184619856,,,,,,,,
,,1781121317.868233204,-0.093998941,-0.137095216,0.237564533,,,,,,,,
,,1781121317.884969473,0.009877645,-0.132915961,0.327579201,,,,,,,,
,,1781121317.901620626,0.068014014,0.029093751,0.310848188,,,,,,,,
,,1781121317.918205976,0.139953002,-0.087144920,0.251855218,,,,,,,,
,,1781121317.934860229,0.181824397,-0.059742113,0.221179928,,,,,,,,
,,1781121317.951759815,0.087875913,-0.088645800,0.237425881,,,,,,,,
,,1781121317.968229294,-0.021781870,-0.123016439,0.255065789,,,,,,,,
,,1781121317.984078169,-0.072755128,-0.145419207,0.280003041,,,,,,,,
,,1781121318.000118256,-0.005116844,-0.129082059,0.291114120,,,,,,,,
,,1781121318.016135454,0.022565939,-0.129615571,0.273368244,,,,,,,,
,,1781121318.034908295,0.052482078,-0.135841052,0.257816432,,,,,,,,
,,1781121318.052907467,0.044415819,-0.140044071,0.254422999,,,,,,,,
,,1781121318.068292856,0.020452601,-0.149681467,0.257092789,,,,,,,,
,,1781121318.085020065,0.008542934,-0.146577733,0.264128588,,,,,,,,
,,1781121318.101848125,0.014050403,-0.142931978,0.266850726,,,,,,,,
,,1781121318.114984751,0.010123141,-0.127677112,0.273648090,,,,,,,,
,,1781121318.134995461,0.013372637,-0.131015013,0.270370105,,,,,,,,
,,1781121318.151658773,0.010620026,-0.136270468,0.273285038,,,,,,,,
,,1781121318.168282270,0.009931560,-0.132590675,0.275816062,,,,,,,,
,,1781121318.184938669,0.007085000,-0.133165013,0.268778384,,,,,,,,
,,1781121318.201730490,0.010191520,-0.138218078,0.274168101,,,,,,,,
,,1781121318.218235016,0.014009517,-0.134959218,0.276716010,,,,,,,,
